origin_id,origin_name,origin_lat,origin_lng,dest_id,dest_name,dest_lat,dest_lng,distance_km,osrm_base_duration_min,time_of_day,day_type,traffic_multiplier,travel_time_minutes
52,Kiribathgoda,6.9822,79.9486,93,Gonawala,7.1539,79.9819,27.85,40.07,morning_peak,weekend,1.17,48.24
83,Attanagalla,7.175,80.0706,87,Gothatuwa,6.9217,79.9856,36.57,45.27,morning_peak,weekend,1.17,54.57
24,Hokandara,6.8494,79.9575,3,Maradana,6.92,79.8617,16.11,24.07,morning_peak,weekend,1.17,30.97
38,Ja-Ela,7.0733,79.8917,2,Pettah,6.9354,79.8517,22.76,22.05,morning_peak,weekday,1.8,37.36
22,Kottawa,6.8244,79.9628,89,Havelock Town,6.8856,79.8642,17.82,21.73,midday,weekday,1.2,23.26
92,Ekala,7.0761,79.9283,60,Bandaragama,6.7167,79.9833,48.71,55.64,midday,weekday,1.2,72.48
51,Kadawatha,7.0072,79.9508,55,Homagama,6.8444,80.0044,24.6,24.33,night,weekday,0.85,22.91
7,Bambalapitiya,6.8867,79.8567,21,Ratmalana,6.82,79.8817,9.93,14.95,midday,weekday,1.2,20.32
14,Dematagoda,6.9261,79.88,9,Dehiwala,6.8517,79.865,10.32,14.9,morning_peak,weekday,1.8,24.74
60,Bandaragama,6.7167,79.9833,71,Colombo Port,6.95,79.8378,35.59,48.42,evening_peak,weekend,1.4,61.15
81,Heiyanthuduwa,6.9444,80.0431,36,Ragama,7.0261,79.9181,24.18,33.41,morning_peak,weekend,1.17,38.21
54,Liyanagemulla,7.1378,79.8853,4,Borella,6.9113,79.8778,33.01,31.12,morning_peak,weekend,1.17,39.42
34,Peliyagoda,6.9711,79.8906,74,Orugodawatta,6.9486,79.8886,4.92,8.82,night,weekday,0.85,8.45
72,Mutwal,6.9617,79.8522,78,Kadawatha Junction,7.0028,79.9556,15.1,21.56,morning_peak,weekday,1.8,36.77
80,Udugampola,7.0717,80.0239,82,Pasyala,7.0911,80.1394,15.56,22.76,evening_peak,weekday,2,51.87
60,Bandaragama,6.7167,79.9833,41,Negombo,7.2089,79.8353,70.27,62.41,midday,weekday,1.2,64.01
9,Dehiwala,6.8517,79.865,88,Thimbirigasyaya,6.8839,79.8778,5.62,9.25,midday,weekday,1.2,9.48
81,Heiyanthuduwa,6.9444,80.0431,8,Wellawatte,6.875,79.8617,29.54,42.45,evening_peak,weekend,1.4,51.84
41,Negombo,7.2089,79.8353,28,Malabe,6.9061,79.9519,46.22,47.37,night,weekday,0.85,38.22
48,Dompe,7.065,80.0969,23,Athurugiriya,6.8783,79.9917,37.93,40.01,evening_peak,weekday,2,82.21
86,Pittugala,6.9133,79.9694,91,Pannala,7.2956,80.0394,54.16,72.45,evening_peak,weekday,2,165.41
3,Maradana,6.92,79.8617,1,Colombo Fort,6.9344,79.8428,3.24,4.85,evening_peak,weekday,2,8.99
27,Battaramulla,6.8994,79.9164,9,Dehiwala,6.8517,79.865,10.57,16.2,evening_peak,weekday,2,31.81
51,Kadawatha,7.0072,79.9508,63,Kirulapone,6.8742,79.8825,20.42,27.7,night,weekday,0.85,23.99
4,Borella,6.9113,79.8778,94,Welisara North,7.02,79.89,15.59,18.12,morning_peak,weekday,1.8,33.01
29,Kaduwela,6.9358,79.9778,36,Ragama,7.0261,79.9181,15.55,18.2,night,weekday,0.85,16.37
28,Malabe,6.9061,79.9519,66,Pannipitiya,6.8308,79.9661,11.12,17.38,evening_peak,weekday,2,30.65
28,Malabe,6.9061,79.9519,44,Minuwangoda,7.1667,79.9506,40.85,51.61,midday,weekend,1.02,49.87
92,Ekala,7.0761,79.9283,89,Havelock Town,6.8856,79.8642,32.62,39.08,midday,weekday,1.2,43.07
62,Ingiriya,6.7344,80.1058,77,Kerawalapitiya,6.9883,79.8658,59.05,57.19,night,weekday,0.85,48.77
9,Dehiwala,6.8517,79.865,62,Ingiriya,6.7344,80.1058,35.36,41.45,morning_peak,weekday,1.8,70.98
79,Weboda,7.0364,79.9869,59,Kalutara,6.5854,79.9608,58.64,56,midday,weekday,1.2,71.29
62,Ingiriya,6.7344,80.1058,58,Avissawella,6.9472,80.2108,34.74,58.33,night,weekday,0.85,49.54
56,Padukka,6.8361,80.0872,81,Heiyanthuduwa,6.9444,80.0431,20.64,35.97,morning_peak,weekend,1.17,40.96
87,Gothatuwa,6.9217,79.9856,96,Aluthgama,6.4333,79.9992,68.29,58.2,night,weekday,0.85,44.2
44,Minuwangoda,7.1667,79.9506,90,Bloemendhal,6.96,79.8647,34.31,40.71,night,weekday,0.85,36.39
75,Baseline Road,6.9067,79.8869,56,Padukka,6.8361,80.0872,27.4,37.7,morning_peak,weekend,1.17,42.36
98,Kosgama,6.8856,80.1681,70,Koswatta,6.9194,79.9211,38.04,51.31,midday,weekend,1.02,57.02
73,Modara,6.9714,79.8681,59,Kalutara,6.5854,79.9608,60.67,64.46,morning_peak,weekday,1.8,119.19
59,Kalutara,6.5854,79.9608,36,Ragama,7.0261,79.9181,59.66,57.52,morning_peak,weekday,1.8,95.04
96,Aluthgama,6.4333,79.9992,71,Colombo Port,6.95,79.8378,79.39,83.59,morning_peak,weekday,1.8,145.35
82,Pasyala,7.0911,80.1394,1,Colombo Fort,6.9344,79.8428,43.25,53.93,evening_peak,weekend,1.4,68.91
31,Thalawathugoda,6.8869,79.9331,94,Welisara North,7.02,79.89,22.62,27.7,evening_peak,weekday,2,50
60,Bandaragama,6.7167,79.9833,2,Pettah,6.9354,79.8517,33.59,40.74,night,weekend,0.807,33.47
32,Biyagama,6.9753,80.0008,9,Dehiwala,6.8517,79.865,26.21,36.21,morning_peak,weekday,1.8,71.96
20,Moratuwa,6.7731,79.8817,24,Hokandara,6.8494,79.9575,17.74,25.53,midday,weekend,1.02,28.78
72,Mutwal,6.9617,79.8522,36,Ragama,7.0261,79.9181,14.2,21.67,night,weekday,0.85,15.71
89,Havelock Town,6.8856,79.8642,99,Bulathsinhala,6.665,80.1825,54.93,67.09,night,weekday,0.85,53.7
66,Pannipitiya,6.8308,79.9661,54,Liyanagemulla,7.1378,79.8853,49.1,47.37,midday,weekend,1.02,43.62
68,Sri Jayawardenepura,6.8886,79.9203,33,Kelaniya,7.0017,79.9219,19.18,25.75,midday,weekday,1.2,29.66
8,Wellawatte,6.875,79.8617,7,Bambalapitiya,6.8867,79.8567,1.9,2.85,evening_peak,weekday,2,5.77
59,Kalutara,6.5854,79.9608,86,Pittugala,6.9133,79.9694,45.12,44.3,morning_peak,weekday,1.8,91.06
51,Kadawatha,7.0072,79.9508,54,Liyanagemulla,7.1378,79.8853,23.16,29.67,night,weekday,0.85,24.09
97,Maththegoda,6.8103,80.0478,28,Malabe,6.9061,79.9519,18.31,30.88,evening_peak,weekend,1.4,39.73
48,Dompe,7.065,80.0969,19,Panadura,6.7136,79.9042,68.08,67.81,evening_peak,weekend,1.4,81.94
44,Minuwangoda,7.1667,79.9506,92,Ekala,7.0761,79.9283,15.73,27.19,midday,weekday,1.2,36.38
37,Kandana,7.0508,79.9058,24,Hokandara,6.8494,79.9575,31.95,39.86,midday,weekday,1.2,48.87
60,Bandaragama,6.7167,79.9833,97,Maththegoda,6.8103,80.0478,20.65,31.3,morning_peak,weekday,1.8,51.12
33,Kelaniya,7.0017,79.9219,67,Kahathuduwa,6.7981,80.0133,37.28,39.67,morning_peak,weekday,1.8,80.75
58,Avissawella,6.9472,80.2108,67,Kahathuduwa,6.7981,80.0133,42.89,58.31,evening_peak,weekday,2,120.64
86,Pittugala,6.9133,79.9694,23,Athurugiriya,6.8783,79.9917,8.62,10.49,morning_peak,weekday,1.8,21.02
17,Maharagama,6.8467,79.9283,33,Kelaniya,7.0017,79.9219,32.25,34.15,morning_peak,weekday,1.8,62.44
42,Gampaha,7.0878,79.9992,26,Rajagiriya,6.9111,79.8989,31.58,40.55,evening_peak,weekend,1.4,63.81
7,Bambalapitiya,6.8867,79.8567,57,Hanwella,6.9042,80.0842,32.42,40.37,evening_peak,weekday,2,70.35
16,Nugegoda,6.8689,79.8889,14,Dematagoda,6.9261,79.88,7.49,10.93,night,weekday,0.85,8.94
66,Pannipitiya,6.8308,79.9661,32,Biyagama,6.9753,80.0008,20.99,24.11,evening_peak,weekday,2,47.72
63,Kirulapone,6.8742,79.8825,62,Ingiriya,6.7344,80.1058,35.87,42.11,midday,weekday,1.2,43.41
52,Kiribathgoda,6.9822,79.9486,42,Gampaha,7.0878,79.9992,18.89,28.41,night,weekday,0.85,21.45
97,Maththegoda,6.8103,80.0478,8,Wellawatte,6.875,79.8617,26.64,40.52,evening_peak,weekday,2,84.03
68,Sri Jayawardenepura,6.8886,79.9203,6,Kollupitiya,6.8978,79.85,10.01,12.7,morning_peak,weekday,1.8,23.14
55,Homagama,6.8444,80.0044,40,Katunayake,7.1697,79.8847,51.08,44.08,evening_peak,weekend,1.4,62.01
30,Mulleriyawa,6.9317,79.9514,19,Panadura,6.7136,79.9042,42.5,43.34,evening_peak,weekday,2,85.09
55,Homagama,6.8444,80.0044,90,Bloemendhal,6.96,79.8647,29.43,34.68,morning_peak,weekend,1.17,44.67
9,Dehiwala,6.8517,79.865,12,Grandpass,6.9425,79.8706,13.09,18.2,midday,weekday,1.2,19.59
34,Peliyagoda,6.9711,79.8906,96,Aluthgama,6.4333,79.9992,81.58,77.37,evening_peak,weekend,1.4,113.52
1,Colombo Fort,6.9344,79.8428,16,Nugegoda,6.8689,79.8889,10.25,14.46,midday,weekday,1.2,17.02
93,Gonawala,7.1539,79.9819,67,Kahathuduwa,6.7981,80.0133,52.17,57.76,morning_peak,weekday,1.8,112.01
57,Hanwella,6.9042,80.0842,29,Kaduwela,6.9358,79.9778,14.04,17.14,morning_peak,weekday,1.8,26.6
62,Ingiriya,6.7344,80.1058,69,Pelawatte,6.8908,79.9311,36.52,40.29,midday,weekday,1.2,48.23
